id,text,target,flesch_reading,dale_chall,coleman_liau,mcalpine_eflaw,wrd_cnt,sen_cnt,syl_cnt,polysyl_cnt,avg_wrd_per_sen,avg_syl_per_wrd,ttr,rttr,cttr,mtld75
10,"
                 I'm not sure it's something necessary for everybody, it depends of what you want to do later. Some people'll never use language is theyre job and for some people, languages are boring, you may not force somebody to learn languages. But personally, I love languages and I want to learn it at university, so evidently study abroad is for me, I think, a compulsory part of education.   I said  that you may not force somebody to learn language, but in fact, study abroad isn't only about learning language, it's more. You discover new people, a new population, new traditions. There is something interesting in everything new, so traveling  can be interesting for everybody. ",0.5,60.85,7.08,9.98,27.7,113.0,6.0,171.0,15.0,18.833333333333332,1.5132743362831858,0.5932203389830508,6.444022325288263,4.556611884328835,59.0
11,"
                 Hello everybody, Today i have exciting news for you... hum... I mean, for me. I 'm invited at the premiere of Hunger Games... you know, the movie where a girl have to kill all the beautiful and athletic boys instead of kissing them (which i'll do if I were her). It's going to be AMAZING! I can't wait. I'm a little afraid that it's going to be too gore because you know... If there is too much blood i'm going to start screaming and crying. Oupsi. I think there will be Josh Hutcherson which i'm a big fan of. I hope he will sign me an autograph and take a selfie with me. I promise, I will post that on my blog to share it with  you guys... Because it's because of you that I can live all the incredible stuff that happened to me. So, again, Thank's a lot. xoxo ",0.3,93.54,6.51,3.4,17.4,151.0,13.0,187.0,8.0,11.615384615384615,1.2384105960264902,0.58125,7.352295559891481,5.198858047687011,56.54545454545455
12,"
                 The best book I have read ? In fact, those are every book of Guillaume Musso. Personally I can't say this book is better than an other because I liked all of  them. The universe of his books is the same in every book except the story and the figures. There are also two cities ( one in France and the other in the United States) and a love story with some mysteries. Sometimes some figures disappear or come out. His books are awazing from the beginning to the end. Guillaume Musso is in the habit of making his figures lovable. He includes at the beginning of every chapter of his books a quote and it is very pleasant to read, that inspire me a lot. He has an unbounded imagination. In most of the case, we are surprised at the end of the book because the situation turn around. ",0.6,83.15,6.55,6.14,20.0,148.0,11.0,197.0,8.0,13.454545454545455,1.3310810810810811,0.5637583892617449,6.88154813235994,4.865989349453335,46.382920110192835
13,"
                 Everyone would agree on the fact that we have to develop a healthy lifestyle but according to me eating balanced is not always the most important factor. First of all I do think that there is not only one factor of a healthy life. We have to pay attention to many different factors because for example, eating a balanced diet but doing no sport is not a healthy life according to me. The definition of an healthy life is that we live healthy in every aspect of our life and there is not especially a factor that is more essential than the others. In a more personal point of view I tend to thnik that eating whatever you want (in reasonnable limits) is less important than eating just what you need. Furthermore I am convinced that doing sport is also an essential factor because if you eat without thninking to your diet but if you do a lot of sport, you will have a healthier lifestyle than eating properly without any sport. To conclude, I would say that obviously having a balanced diet is a factor of an healthy lifestyle but that's not the most important. I do think that there is not one factor more important than the others but it is a selection of factors that make your life healthy like sports, socializing, having a balanced diet, ... ",0.5,59.37,7.19,8.6,40.8,229.0,8.0,323.0,23.0,28.625,1.4104803493449782,0.43043478260869567,6.5278666866182915,4.615898800789553,54.68002392344498
14,"
                 Social networks are certainly gaining an important place in our lives, we are now able to contact our family and friends insanely fast thanks to Facebook ,Twitter allows us to follow people and firms' activities on a daily basis, while Instagram rallies a community of photographs' lovers. Now, how did we react to such big changes over the last decade ? One undeniable fact is that people are now using these networks to stimulate their social life, some people now prefer to chat on the internet instead of going out and get to know their neighbours a little better. We now tend to have a closer relationship with our computer or smartphone than we have with our friends. This accounts for a lot of direct and indirect consequences. Firstly, our body is not quite used to watching a ""blue"" screen all day, hence the need to put down your tablet or smartphone before going to sleep if you don't want to stay awake for a few more hours and be tired the next day which could affect the relationship with your family or colleagues. Second, most people would agree that the internet has affected the way we spend our free time. As a matter of fact, while my grandfather walked two miles to the cinema to watch the latest movie with some friends or played tennis on a sunny afternoon, I find it more easy to download the latest hit or surf on the internet all day. In closing, I would recommend to think about how the internet and the social networks have affected our lives and how we want it to evolve in the next few years. We mustn't forget the importance of human contact for our well-being ! ",0.6999999999999998,59.16,8.14,9.01,41.4,288.0,10.0,399.0,28.0,28.8,1.3854166666666667,0.5758620689655173,9.806577665895547,6.934297567787287,91.64502164502164
15,"
                 Social networks can impact relationships at different levels. First of all, they can serve as upgraded address books that allow people to remain connected even if life has separated them. Social networks also allow people to stay closer as they can stay away while remaining aware of their friend's whereabouts. On the other hands, social networks might hinder or slow down the creation of new friendships as, when embedded in a new environment, protagonists might decide to stay connected to their 'old' friends and not open up as fast. Also, being connected through social networks might give the false impression of knowing people while what we have access to is only a distilled and strongly editer version of people's lives. Lastly, social networks might be able to create relationships which otherwise would physically not have been possible. For example, a young Australian boy living in the Outback whose passion is astronomy might be able to get in touch with a girl from Iran who dreams to become an astronaut. Overall, social networks reshape our relationships by altering the distances as we know them and creating a new canvas where the world looks much smaller. ",0.8333333333333334,55.27,8.91,11.78,32.3,194.0,8.0,296.0,22.0,24.25,1.5257731958762886,0.6530612244897959,9.142857142857142,6.464976285134148,98.0
16,"
                 The balance diert : According to my opinio, there is different factors to take in consideration for a healthy life. However, a blanced diet has a major importance due to its link with others factors. The balance dier has to be considered as one of the most important factor because the alimentation will be linked to the immunity system. A person who had a complex alimentation will not suffer of poorest alimentation diseases. If the person fows a dier, he must take in consideration the content of his food like sugar, fat, proteun etc. to avoid irregularities. By the way, having a balancer diet will help to keep the weight to an acceptable level. If the balanced diet is well done, the person will reach a weight that match with his objectives. Furthermore, the weight will be influence by physical activities that need a good alimentation to be efficient. We can considerer that the balanced diet has a determinant role in the healthy life due to its implication with most of human's activity to keep a healthy life. ",0.39999999999999997,53.51,8.35,9.45,25.3,177.0,10.0,280.0,26.0,17.7,1.5819209039548023,0.5561797752808989,7.420363721059028,5.246989506031483,59.333333333333336
17,"
                 Some people argue that choosing the path to celebrity doesn't give you anymore the right to claim some privacy for youself. While I partly agree with that point of view, I tend to think every human being deserves the right to keep some decency and share only the things he or she wants. As written in our constitution, everyone should have the right to live his life privately. Nevertheless, some people have chosen to live in the public eye and share their private and most intimate moments with complete strangers. This is a choice they made as responsible adults and there is nothing wrong with it in my view. That being said, we have seen too many times these last years celebrities being exposed on the internet by hackers. These hackers have chosen to share private pictures of these celebrities without their consents and this is  something very wrong which proves once again how much our society has driften away from the value of respect we used to share. Being famous doesn't give you the right to disrespect others, so what right do we have to disrespect well-kwnown people? In conclusion, I am strongly convinced that each person living on this planet should have some basic rights, that includes a right to privacy. So I don't believe we should blame famous people for keeping some intimate moments to themselves. ",0.6999999999999998,65.15,8.08,10.28,30.0,229.0,10.0,317.0,15.0,22.9,1.3842794759825328,0.5862068965517241,8.928837434461133,6.313641498019764,78.7479674796748
18,"
                 Dear friend, At first, i want to thank you for your birthday's invitation. I was so glad to received your letter. For your party at your home, i propose you my help for the organisation, if you want. I can come earlier for prepare the buffet and the dancefloor.  I can take some foods and drinks with me if you want too. At the end of the party, i can stay later for help you to tidy up your home, i supposed you will need it. I can't wait this day!  See you later! ",0.25,93.34,6.41,3.4,17.9,94.0,8.0,115.0,3.0,11.75,1.2234042553191489,0.5833333333333334,5.715476066494083,4.041451884327381,41.14285714285714
19,"
                 I've just finished to read the book entitled ""A new earth"", a Eckhart Tolle's book translated in French. I find that it's the most interesting book that I've ever read until now because it deals about spirituality and personal development's stuff which have always interested me. I think these subjects can be very helpfull to everyone in their daily life. For example, it helps me a lot to improve myself to become happier and it works ! I've became aware of my ability to destruct myself which made me unhappy. I've understood the advantages that everyone has to enjoy life's little things and above all the fact that I can choose to change my life and make dreams come true if I really want to. All of this explanation isn't a fantasy or unreal at all. I lived some experiences that have been ""confirmed"" by this book and I am truly convinced that the whole humanity have the power to change some things if people want to live ""better"" or become happier. ",0.6,58.21,7.56,8.53,29.6,171.0,8.0,249.0,22.0,21.375,1.456140350877193,0.6,8.049844718999243,5.692099788303083,61.23529411764706
20,"
                 Firstly In 10 years time, I hope that I'll be happy like today. I'll be the boss of my compagny. I hope that i'll be married and that i will explorate the world with my wife, I want to know all about the planet where i live. I hope that the people who are important for me will be still alive,and that i'll enjoy all the moment that i'll stay with them. ",0.19999999999999998,87.05,5.85,4.17,26.3,72.0,4.0,87.0,3.0,18.0,1.2083333333333333,0.5714285714285714,5.0142653642240695,3.5456210417116734,25.666666666666668
21,"
                 Hi friend, that's wonderful you make a great dinner for your birthday, but it's not cool that you has all the work if you want I'll be there to help you. What can I do ? I like drink dance laugh then I can create the atmosphere and fun.If you want I'll say to my sister to come with me, because she likes working cooking washing then with us two, everything will be perfect.  See you soon ",0.19999999999999998,89.89,5.84,4.92,22.8,76.0,5.0,92.0,3.0,15.2,1.2105263157894737,0.7407407407407407,6.666666666666667,4.714045207910317,56.04201680672269
22,"
                 I like cooking when I have the time, I like reading to,the books thriller or police,,  I 'm walking in the wood when the weather is good and when it rains I watching TV ",0.08333333333333333,70.81,8.57,5.29,49.0,34.0,1.0,40.0,0.0,34.0,1.1764705882352942,0.7142857142857143,4.225771273642583,2.988071523335984,28.170731707317074
23,"
                 If we speak about the Earth environment, and thus, global Earth bad conditions, maybee the first thing to do, internationnaly, from each human to each company (from the smalest to the biggest) is to reduce what we consume. Then, reducing waste would follow directly. That is a imminent necessity, oceans are suffocating. Improving the recycling of every kind of waste (already produced) would be all benefit, for the Nature and also would provide new kind of employment, and at the current state of the world economy, that could also help... Globaly, improve the educationnal system, creating them where they do not exist, where they have disapeared and improve those that need it. We have to realize that our ressources aren't unlimited! We have to learn how to protect what's left, mainly because it's too late for a big percentage of our ressources and our environment. We already lost so many animal, vegetal spicies, what's left won't last forever, it's getting more than urgent! If you speak of any other kind of environment (work environment, IT landscape), could you be more pecise, in order to answer correctly to your question ;-)) Hoping having been helpful to science, yours sincerely ",0.5,57.71,8.49,10.73,29.6,197.0,9.0,300.0,28.0,21.88888888888889,1.5228426395939085,0.6305418719211823,8.983838801198035,6.352533337413953,62.92336939879555
24,"
                 I personally think it is more important to have an enjoyable job than to make money. Of course everybody needs money to live but we don't need to live for money. On the other hand, if somebody spends the whole day at work, this has to be pleasant and interesting.  The job itself first and also the colleagues. - Through the job first, you may learn a lot of things, new matters for instance, new ways to work.  By working with foreigners (abroad), it makes you openminded. Working hard may also bring a lot of stress of course - Then if you share your time with nice colleagues, this can help you in case the job is less interesting.  You are still happy when you are going to work. Unfair colleagues cause today of lot of problems (especially psychological ones). The dream should be to have both nice colleagues and interesting job but I think this aim is very difficult to achieve. Unfortunately, there are more and more problems at work and the negative points are taking the upper hand. This was a resume of my opinion concerning this matter. ",0.5,72.46,6.68,8.0,22.6,188.0,12.0,255.0,15.0,15.666666666666666,1.3563829787234043,0.5767195767195767,7.928583345241056,5.606355048622673,69.92307692307693
25,"
                 I get up with my children at zeven o'clock. I have a shower. I get dressed and I always have breakfast. I go to work in my bookshop from eight o'clock until zeven o'clock. In the evening, I do the children's homework, I cook.  I sometimes watch Tv and go to bed at eleven o'clock. ",0.16666666666666666,95.98,5.82,3.27,14.0,55.0,6.0,64.0,0.0,9.166666666666666,1.1636363636363636,0.6,4.6475800154489,3.2863353450309964,30.0
26,"
                 It would be great to change first the vision of environment people have. All day long, we receive dozens of messages that have a negative impact on our mood: pictures of dead delphins or cutten trees produce anger, sadness, incomprehension; documentaries about our way of life (meat industry, for example) produce guilt. I don't believe in negative messages to generate positive actions. The problem is not in the way we treat environment, it's in the way we think it. We must think first about why we feel so separated from environment, then what we want to do with that relationship, and in the end what we want to change or to keep that way. ",0.5333333333333333,65.25,7.95,9.12,32.8,114.0,5.0,163.0,13.0,22.8,1.4298245614035088,0.646551724137931,6.963575181639445,4.923991232239596,50.14583333333333
27,"
                 First of all, social networks take a big place in our life. Everyone is confronting all day with smartphone, laptop. So the people don't take time to do simple things with friens. we are all the time in an artificial world. we see in restaurants, bars, all people with their smartphones. So now, the people are not in the real time. Then, Socail networks can combat lonelines. but do we really need 200, 500 or 5.000 friends?  For friendship, this is more than a face on a computer. Bullying is a negative aspect of socail networks. Mallicious people use it to harnass workers, colleagues or class counterparts.Young and old write insultin or hateful messages. But also, each social network has the potential to multiply relationship, delvolp new ones and some find love there. To conclude, social networks have positive and negative points on relationship. We must use them goed for not being naked on the web. ",0.3,77.84,8.3,8.21,14.9,156.0,15.0,223.0,14.0,10.4,1.4294871794871795,0.6645161290322581,8.273159087695738,5.8500068927447675,73.97727272727272
28,"
                 This question is very interesting indeed and especially when you are reconsidering your career path, after having been in the same company for many many years. No matter what you do, no matter what you think, you will be always facing this kind of alternative. I worked for 13 years in an international company as an executive assistant and following a reorganization of the top management, I decided to leave the company without having any future professional plan. I was looking for a position where I could bring forward and further develop my key competencies and expertise. I targetted the Belgian market with its different sectors and industries and the salary was not my key priority. After 4 months of job research, I received several proposals and my choice was a well known pharmaceutical company who offered very competitive salaries indeed. This job offer met my expectations and was in line with my competencies and career objectives. I know that I finally made the good choice and killed two birds with one stone: get ride of a previous energy consuming boss and earn more money in a very pleasant job. ",0.7333333333333334,47.32,8.22,10.91,33.8,190.0,8.0,306.0,35.0,23.75,1.6105263157894736,0.6382978723404256,8.751899489873674,6.18852747755276,59.85849056603774
29,"
                 For me, the most important think is to have a job you enjoy. Sure the money is not a little part of it and if you need it, it's also important..I certainly prefer a job with a correct environement, a kind atmosphere, lots of nice people and a very interesting job. To be your self and also to work correctly in a place you appreciate. But what is for you an ""enjoyable job"" ? Could you tell me more about it ? I also need your interpretation : I suppose here it's not only a survey but also an exercise to practise your favorite language ! Can I have an answer ? Thanks a lot for your response, ",0.3,75.61,5.94,5.32,18.9,113.0,9.0,159.0,11.0,12.555555555555555,1.407079646017699,0.5862068965517241,6.313641498019764,4.464418717230567,48.733082706766915
30,"
                 Yes of course they are ppl after all. The moment you step into a public space you still have a right to privacy and who gets to decide when you are in the public eye and when not?  Being a worldwide known celebrity puts you in the public eye but just being well known in your village even if it's small, still affects your life in similar ways.  It's not up to other ppl to decide if your private life is for consumption and entertainment, that should always be under your own control and stay your own choice. Most times those want to get private information about ppl in the public eye don't have any other motivation for it aside from being bored.  If something requires further investigation(in the case of a crime for example) that should be restricted to qualifiied ppl.  The wide majority would just do harm playing investigator themselves. ",0.6,66.37,7.52,8.59,30.9,152.0,7.0,214.0,12.0,21.714285714285715,1.4078947368421053,0.6089743589743589,7.606087305741639,5.378315912186829,66.72605042016806
31,"
                 According to me social networks have a huge impact on our relationships. Many people nowadays have access to social media and use it to communicate and we can all say that communication is a basic thing for every relationship. Is that bad ? Well, that's complicated. Like everything social networks have positive and negative impacts. Let's start with the positive (yeah, I'm a positive person) ! When I like a person, I always want to talk with that person (logical) and social networks like Facebook make tat so easy because it's totally free and you can chat super easily on lots of devices. You can also share pictures or anything you want so people ave news from you(even if they don't contact you) and that's different from before. But that sharing thing is also delicate because it can leads to jalousy. I know so many people who had an argument because of some pictures they saw on Facebook ! ",0.6333333333333333,64.1,7.85,9.1,21.5,156.0,10.0,232.0,17.0,15.6,1.4871794871794872,0.6012269938650306,7.675952409881982,5.427718001092771,54.876666666666665
32,"
                 My opinion has to be qualified . I think it is important to take care of her/his family and especially the children who do not ask to be put in the spotlight. It is necessary to protect them and not to expose them in front of a camera. For this reason, people who live in the public eye have a right to privacy. (63) On the other hand they have to give legal information if they belong to a political party or have responsibilities at the government level. For example, it is relevant to know their property and if they do not evade the tax. Another point is to be sure they have no problem with law. However this kind of information is normaly private. But public people have to give this private information and the right to privacy is cancelled.(77) It is a delicat subject to define what it must be given or not to the public eyes. ",0.5,63.9,6.92,6.67,23.7,158.0,10.0,230.0,19.0,15.8,1.4556962025316456,0.5569620253164557,7.000904100746424,4.950386764074505,52.666666666666664
33,"
                 I'm keen on the mountains, specialy The Alpes. And my dream would be living there. I imagine the fixture and furniture in a pretty chalet or flat, front of a majestic vieuw. I often could walking in this marvelous scenary. Sometimes, friends and especcialy my children would come for some stays. They could be accomodated at our home, of course. I must be patient and keep hope. Time will tell us. ",0.25,87.82,7.64,6.58,12.4,71.0,8.0,94.0,4.0,8.875,1.323943661971831,0.7777777777777778,6.599663291074444,4.666666666666667,81.0
34,"
                 I'm an artist. I make comix, silkscreen printing, engraving. So maybe am i a particular kind of people...I always knew i'll never make a lot of money with this sort of life, and maybe i put this idea so deep in my mind that i made an aversion to money winning. I make drawings all the time, and sometimes i make illustrations to have some money, and the artistic process is more difficult in these cases...not because i make it for others,  because there is money at the end...i don't know why... Some people makes thiers jobs to have money, they have no problems with any questions...  after the work, the work is over, they have the money, they have the rest of the day to make other things. For me it never stop, creation is always in my mind, the day  never end, i dream of it, and i don't have money. So what is the best ? I love my work,  it's all my live, and i can't do anything else... And i don't care about the money. Enjoying our work is very important, but it's just a question of priority. There are a lot of jobs really fun where you can make a lot of cash, money is your goal, why not after all ... And there  are a lot of job really fun where you make no cash... but you like it anyway, because you trust in what you do, money is not a goal, you wake up in the morning to make something that makes you happy, and maybe proud. It's a conscience choice... ",0.39999999999999997,90.29,5.79,4.46,21.9,267.0,18.0,331.0,10.0,14.833333333333334,1.2397003745318351,0.4444444444444444,7.423685817106695,5.249338582674541,42.101351351351354
35,"
                 In ten years, I would like visit many country in the world to meet many people and speak, change ideas between us. The first land to visit is the America of south : deserts, mountains, cities and seas with different transports : aeroplane, auto, car, bike and boat. For that, I would like learn spanish and englih language. It is most aisy to meet people if you understand their language. ",0.15,79.6,7.27,8.47,23.0,68.0,4.0,88.0,3.0,17.0,1.2941176470588236,0.75,6.18465843842649,4.373213921133975,68.0
36,"
                 Firstly , I'd like thanking you for the invitation. It had been a long time I didn't take part of a birthday's party. I'm hoping the best. Secondly I'd like offering my help for the organisation. Maybe may I bring some snacks or soft/alcool ? Please tell me if I have to come before to prepare something. If you need too I can stay to clean your home at the end. I'm waiting hearing news from you , and I hope we will meet us before the party ",0.19999999999999998,86.1,6.21,4.68,15.6,85.0,8.0,112.0,5.0,10.625,1.3176470588235294,0.7391304347826086,7.0894900779405425,5.013026509266503,92.0
37,"
                 If I had 1 million euros, I would first of all put them in investments that will make my old days better. Then, I would visit all the world with my family to discover new cultures and food.I also would stop to work and enjoy of my free time by making some sports, journeys and by being with my friends. Of course, il would every year give a part of this amount of money to charitables. And when I will have done this, I would buy excitings cars and a chalet in mountains so that I can enjoy the winter by skiing and the summer by sunbathing and making some walks into the wild. ",0.3,73.71,7.12,6.1,32.6,114.0,5.0,146.0,5.0,22.8,1.280701754385965,0.6403508771929824,6.837076424546366,4.83454310328741,50.07025186123872
38,"
                 My best memory of a holiday was San Torini. The sun was shining and the lanscape were beautiful. San Torini is an island in West Greece. There ares many white en little houses. the guide tells us the was in fact hotel today. she also tells us why these houses are whites, it's to keep cold air iside. there were also many orthodoxe chrurch. there were white with a blauw hood. ",0.11666666666666665,87.82,7.19,5.13,12.4,71.0,8.0,91.0,4.0,8.875,1.2816901408450705,0.7361111111111112,6.24610990048117,4.416666666666667,72.0
39,"
                 Let's first see what privacy still means nowadays, knowing that most people have a mobile phone linked to an e-mail address, have private and professional accounts on social media websites, manage their bank accounts online, as well as their travels and all kinds of other purchases. They probably save all their pictures and films on their laptop, communicate through social medias or relevant apps. Not to say all of this information might be saved in the 'cloud'. Believing that all this very personal information remains private would be rather naive, I guess. We know that it is being sold and used for commercial and marketing purposes - ""If you're not paying for the product, you are the product'. And although all of the above is normally done in full knowledge of the facts, it remains a very personal decision/choice, which is also a right, that should be somehow protected, as many of us are de facto living in the public eye. ",0.6999999999999998,52.83,9.5,10.22,36.7,160.0,6.0,232.0,17.0,26.666666666666668,1.45,0.6871165644171779,8.772517039865123,6.203106286963166,92.82582159624414
40,"
                 Nowadays, people, especially women, feel very concerned about their weight while the amount of junk food and the obesity are rising. So when someone, for example a teenage girl, decides to start a diet, she'll more than often will be excessive, thinking that the less you eat, the more you loose is the right way to proceed. Then she'll reach a point when she won't handle her diet and go back to all the unhealthy foods she was avoiding, and it's well known that our world is surrounded by cheap horrible food sellers; fast foods like Mc Donald, Burger King and so one or simply supermarkets encouraging to eat chips, biscuits, candies just by their price. What do i mean? You want to buy some healthy food, like Gluten  free cookies or veggies for example, it's way too expansive for the average population, meanwhile the rest is so cheap that it becomes the best alternative. So no one teach to those girls who feel awful in their body how to proceed and what's the key; I really think teaching how to have a balanced diet should be a priority in education, people should learn that the way to feel good is to eat enough and well, but healthy, and stop watching those unrealistic models we have such as actors, Instagram addicts and others. I suffered of that for a long time and there wasn't anyone to tell me i wasn't looking at things the right way. So again, yes it's really important, for the ones who can't afford healthy food (what should be available to everyone) and for the ones who don't accept themselves the way they are, we need to learn what exactly is a balanced diet. My apologies if I didn't answered the way you were expecting me to. ",0.6,62.95,8.34,8.48,47.7,301.0,9.0,406.0,23.0,33.44444444444444,1.3488372093023255,0.5654952076677316,10.00463151531272,7.074342787750269,97.88830635969911
41,"
                 Four years ago, I went to Senegal during two short weeks and I think it was the most beautiful travel that I've made in my life. I took the plane and it was the first time for me because my parents doesn't like plane (my mother is afraid by that). It was the most beautiful travel because I discover a lot of thing that we doesn't know here in Belgium. ",0.19999999999999998,81.67,6.15,5.69,34.3,70.0,3.0,87.0,3.0,23.333333333333332,1.2428571428571429,0.6712328767123288,5.7350162126103985,4.055268854151603,64.15151515151516
42,"
                 Social networks have grown to become a huge part of our everyday lives and have completely changed the way we interact with people around us. It can be seen that people tend to spend more time speaking with their friends and relatives over the internet than meeting them in real life. Furthermore, social networks are all about speed and instantaneous exchanges. We want everything to be shorter in order to go faster, including our relationships. We are talking to our friends online but at the same time we want the conversation to be over so that we can move on to something else. Online conversations are deprived from the willing of communicate and truly interact with somebody else. In addition to that, time spent together in real life also happens to be polluted by social media. It is common to witness friends seated together although both are staring at their smartphones instead of talking to each other. They are spending their together time alone, focussing on their virtual lives. It can be concluded that social networks have had an impact on our relationships, making them shorter online and making us lonelier in real life. ",0.7333333333333334,60.24,7.85,10.62,26.5,194.0,10.0,291.0,23.0,19.4,1.5,0.5567010309278351,7.753948113071572,5.482869291721543,81.82590412111017
