Elementary,Intermediate ,Advanced
"Andersen had the idea for an artwork he calls the
Solspeil, or Sun mirror, at the end of September
one year: Every day, we took our young child for
a walk, he says, and, every day, I realized we
had to go a little further down the valley to find
the sun. By 28 September, the sun completely
disappears from Rjukans market square. It
doesnt reappear until 12 March.","The idea of an artwork Andersen called the
Solspeil, or Sun mirror, came to him at the end
of one September: Every day, we would take
our young child for a walk, he says, and, every
day, I realized we were having to go a little
further down the valley to find the sun. By 28
September, the sun completely disappears from
Rjukans market square. It doesnt reappear until
12 March.","The first inkling of an artwork Andersen called
the Solspeil, or Sun mirror, came to him as the
month of September began to fade: Every day,
we would take our young child for a walk in
the buggy, he says, and, every day, I realized
we were having to go a little further down the
valley to find the sun. By 28 September, the sun
completely disappears from Rjukans market
square. It doesnt reappear until 12 March."
"In the months between September and March,
Andersen says: We would look up and see blue
sky above, and the sun high on the mountain, but
the only way we could get to it was to go out
of town.","In the months between September and March,
Andersen says, Wed look up and see blue sky
above, and the sun high on the mountain slopes,
but the only way we could get to it was to go out
of town. Its sad, a town that people have to leave
in order to feel the sun.","Throughout the seemingly endless intervening
months, Andersen says, Wed look up and
see blue sky above, and the sun high on the
mountain slopes, but the only way we could get
to it was to go out of town. Its sad, a town that
people have to leave in order to feel the sun."
"Twelve years after he first dreamed of his
Solspeil, a German company that specializes in
CSP  concentrated solar power  brought in,
by helicopter, the three 17-square-metre glass
mirrors that are now high above the market
square in Rjukan.","Twelve years after he first dreamed of his
Solspeil, a German company specializing in
CSP  concentrated solar power  brought in,
by helicopter, the three 17-sq-m glass mirrors
that now stand high above the market square in
Rjukan. It took, he says, a bit longer than
wed imagined.","Twelve years after he first dreamed of his Solspeil,
a German company specializing in so-called CSP
 concentrated solar power  helicoptered in the
three 17-sq-m glass mirrors that now stand high
above the market square in Rjukan. It took, he
says, a bit longer than wed imagined."
"And it really works. Some people were against
the mirrors at first, but now even they agree that
it works","It really works. Even the people who were against
it at first agree that it works.","It really works. There were objectors  and plenty
of them  petitions and letter-writing campaigns
and a Facebook page organized against what
a large number of locals saw initially as a vanity
project and, above all, a waste of money. But
even they now seem largely won over."
"I was strongly against it, says Nils Eggerud.
Like many others, he felt they needed the money
for other things  for extra carers to look after
Rjukans old people, perhaps, or better schools,
cycle paths and roads.","I was strongly against it, admits Nils Eggerud.
Like many others, he felt that the money should
have been spent on other things  on extra
carers to look after Rjukans old people, perhaps,
or improved school facilities, cycle paths and roads.","I was strongly against it, admits Nils Eggerud.
Like many others, he felt the money could have
been better spent elsewhere  on a couple of
extra carers to look after Rjukans old people,
perhaps, or improved school facilities, cycle
paths, a bit of rural road resurfacing."
"And I still dont know about the maintenance
costs, he says. What will they be, who will pay
them? But ... well, it feels nice, standing here.
And, really, you just have to look at the
peoples faces.","And I still dont know about the continued
maintenance costs, he says. What will they be,
who will pay them? But ... well, it does feel nice,
standing here. And, really, you just have to look at
the peoples faces.","And I still have my doubts about the ongoing
maintenance costs, he says. What will they be, who will pay them? But ... well, it does feel nice,
standing here. And, really, you just have to look at
the peoples faces."
"In his office with a view of the square, Rjukans
young mayor, Steinar Bergsland, is less
interested in the cost and more interested in the
benefits the mirrors might bring to the town.","In his office overlooking the square, Rjukans
young mayor, Steinar Bergsland, is interested not
so much in the cost but in the benefits the mirrors
might bring to the town.","In his office overlooking the square, Rjukans
energetic young mayor, Steinar Bergsland, is
interested not so much in the cost but in the
benefits the mirrors might bring to the town."
"Already, Bergsland says, there are more visitors
than usual and Rjukans shopkeepers are making
more money than usual.","Already, Bergsland says, visitor numbers are
higher than usual for the time of year and
Rjukans shopkeepers have reported that they
are earning more money than usual. A hi-tech
company is interested in moving to Rjukan,
attracted by the cutting-edge technology at
the top of the mountain and the publicity it has
attracted.","Already, Bergsland says, visitor numbers are up
for the time of year and Rjukans shopkeepers
have reported their takings following suit. A
hi-tech company is interested in relocating to
Rjukan, attracted by the cutting-edge technology
on view at the top of the mountain and the
publicity it has attracted."
"The town had to pay just 1 million krone 
100,000  of the mirrors total 5-million krone
cost. The rest came from the government and a
local business. And, says Bergsland, just look
out of the window. Look at those happy faces.
Now its here, people love it.","This is a powerful symbol for Rjukan, Bergsland
says, and, helped by government grants and a
donation from a local business, the town needed
to find just 1m krone  100,000  of the mirrors
total 5m-krone cost. And, he says, just look out
of the window. Look at those happy faces. Now
its here, people love it.","This is a powerful symbol for Rjukan, Bergsland
says, and, helped by assorted government grants
and a donation from a local business, the town
needed to find just 1m krone  100,000  of the
mirrors total 5m-krone cost."
,,"And, seen against the towns 650m krone annual
budget, he points out, 1m krone really wasnt very
much to pay for something that gives us a far,
far better chance of raising the money we need
for better schools and more nursing care. And
just look out of the window. Look at those happy
faces. Now its actually here, people love it."
