id,target,flesch_reading,dale_chall,coleman_liau,mcalpine_eflaw,wrd_cnt,sen_cnt,syl_cnt,polysyl_cnt,avg_wrd_per_sen,avg_syl_per_wrd,ttr,rttr,cttr,mtld75
41,0.8,40.01,10.78,12.66,41.0,31.0,1.0,50.0,7.0,31.0,1.6129032258064515,0.8709677419354839,4.849343154722923,3.429003429005144,60.0625
42,0.5,85.69,6.57,4.74,17.0,33.0,3.0,42.0,3.0,11.0,1.2727272727272727,0.9393939393939394,5.396407334626633,3.8158362203593135,136.1250000000001
43,0.5,52.46,9.62,11.46,14.2,52.0,5.0,86.0,9.0,10.4,1.6538461538461535,0.8627450980392157,6.161232369723243,4.356649189097367,92.89285714285715
44,0.8,58.29,12.59,10.17,52.0,38.0,1.0,51.0,3.0,38.0,1.3421052631578947,0.8947368421052632,5.515528318445926,3.9000674757995495,90.25
45,0.5,74.19,8.28,7.59,21.5,28.0,2.0,39.0,3.0,14.0,1.3928571428571428,0.8928571428571429,4.72455591261534,3.3407655239053047,65.33333333333336
46,0.5,51.48,10.77,11.14,26.0,59.0,3.0,93.0,12.0,19.666666666666668,1.576271186440678,0.8214285714285714,6.147008563985761,4.3465914396061125,78.39999999999999
47,0.8,36.62,19.48,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.7071067811865475,1.0
48,0.1,67.49,8.18,6.91,31.6,103.0,5.0,141.0,8.0,20.6,1.3689320388349515,0.6568627450980392,6.633988537943719,4.690938281493833,50.12951807228915
49,0.1,75.71,6.78,5.03,19.0,25.0,2.0,35.0,2.0,12.5,1.4,0.92,4.6,3.2526911934581184,78.12500000000004
50,0.8,59.13,10.43,10.33,29.5,41.0,2.0,63.0,3.0,20.5,1.5365853658536586,0.8536585365853658,5.466081666101212,3.8651034126196286,70.04166666666666
51,0.5,58.62,9.94,9.23,30.5,42.0,2.0,61.0,2.0,21.0,1.4523809523809523,0.8095238095238095,5.246313898711125,3.709704134011871,40.43346774193548
52,0.8,69.86,8.99,4.94,41.4,133.0,5.0,170.0,8.0,26.6,1.2781954887218046,0.7272727272727273,8.355727485873496,5.908391567007971,101.72477064220185
53,0.5,69.52,8.63,8.24,26.0,93.0,5.0,126.0,5.0,18.6,1.3548387096774193,0.6236559139784946,6.014319829436467,4.2527663356192456,31.0
54,0.8,59.94,12.11,12.18,24.7,59.0,3.0,90.0,7.0,19.666666666666668,1.5254237288135593,0.8771929824561403,6.622661785325219,4.68292905790847,116.03571428571423
55,0.5,84.68,8.84,9.03,16.3,72.0,6.0,96.0,4.0,12.0,1.3333333333333333,0.8611111111111112,7.306770072260992,5.166666666666667,129.60000000000005
56,0.8,37.64,11.51,15.61,32.0,50.0,2.0,87.0,14.0,25.0,1.74,0.86,6.081118318204308,4.3,89.28571428571428
57,0.5,76.56,9.89,7.2,28.3,60.0,3.0,80.0,4.0,20.0,1.3333333333333333,0.8035714285714286,6.013377943029549,4.252100321353806,71.27272727272728
58,0.5,66.78,9.15,9.17,30.5,85.0,4.0,123.0,10.0,21.25,1.4470588235294115,0.7647058823529411,7.050239879106326,4.9852724275079074,87.65625
59,0.1,74.19,10.72,10.03,19.3,42.0,3.0,57.0,5.0,14.0,1.3571428571428572,0.902439024390244,5.778429189878424,4.085966464769322,105.06250000000004
60,0.5,82.14,8.17,6.14,20.5,29.0,2.0,38.0,1.0,14.5,1.3103448275862069,0.896551724137931,4.828078792603349,3.4139672543527864,70.08333333333334
61,0.8,75.91,11.07,9.9,16.3,37.0,3.0,52.0,3.0,12.333333333333334,1.4054054054054057,0.9428571428571428,5.578018081208209,3.944254410803499,153.12499999999994
62,0.5,80.96,8.12,8.13,30.5,48.0,2.0,59.0,1.0,24.0,1.2291666666666667,0.8723404255319149,5.980464651413677,4.228827109661053,92.0416666666667
63,0.1,68.3,9.02,8.7,28.5,79.0,4.0,112.0,8.0,19.75,1.4177215189873418,0.7848101265822784,6.975544985741348,4.932455161889526,91.77941176470588
64,0.5,79.6,7.73,8.7,24.0,34.0,2.0,45.0,1.0,17.0,1.3235294117647058,0.7941176470588235,4.630461798847739,3.2742309379904952,41.28571428571428
65,0.5,22.08,13.12,17.18,42.0,32.0,1.0,58.0,7.0,32.0,1.8125,0.875,4.949747468305833,3.5,64.0
66,0.5,46.78,11.67,13.11,20.7,48.0,3.0,82.0,10.0,16.0,1.7083333333333333,0.8571428571428571,6.0,4.242640687119285,85.74999999999997
67,0.5,70.73,10.49,8.18,26.6,87.0,5.0,121.0,11.0,17.4,1.3908045977011494,0.5949367088607594,5.287913134352312,3.739119235625931,33.42307692307692
68,0.1,73.51,8.9,8.25,34.0,23.0,1.0,29.0,0.0,23.0,1.2608695652173914,0.9130434782608696,4.37880269519857,3.09628107925284,66.12499999999996
69,0.8,57.61,9.03,9.86,32.0,22.0,1.0,32.0,1.0,22.0,1.4545454545454546,0.9090909090909092,4.264014327112209,3.015113445777636,60.49999999999998
70,0.5,52.46,9.62,11.46,14.2,52.0,5.0,86.0,9.0,10.4,1.6538461538461535,0.8627450980392157,6.161232369723243,4.356649189097367,92.89285714285715
71,0.5,85.18,5.92,6.24,15.5,46.0,4.0,58.0,2.0,11.5,1.2608695652173914,0.782608695652174,5.307910421576297,3.753259453027346,52.900000000000006
72,0.8,42.04,9.98,15.1,38.0,87.0,3.0,137.0,10.0,29.0,1.5747126436781609,0.7701149425287356,7.1831539834132245,5.079256891978653,94.61249999999998
73,0.5,52.53,8.78,11.15,38.0,54.0,2.0,83.0,9.0,27.0,1.537037037037037,0.8148148148148148,5.987641593469991,4.233901974057256,72.89999999999998
74,0.8,88.36,8.25,6.67,23.3,50.0,3.0,61.0,1.0,16.666666666666668,1.22,0.88,6.222539674441618,4.4,104.16666666666669
75,0.1,27.83,11.28,12.32,59.0,43.0,1.0,70.0,7.0,43.0,1.627906976744186,0.8095238095238095,5.246313898711125,3.709704134011871,55.125
76,0.5,56.25,9.64,10.14,22.5,30.0,2.0,49.0,6.0,15.0,1.6333333333333333,0.8620689655172413,4.642383454426297,3.282660821493064,52.56249999999998
77,0.1,59.13,10.43,13.69,27.0,41.0,2.0,62.0,6.0,20.5,1.5121951219512195,0.926829268292683,5.934602951767031,4.196397990844169,140.08333333333343
78,0.1,68.3,8.82,8.7,28.5,79.0,4.0,112.0,8.0,19.75,1.4177215189873418,0.7848101265822784,6.975544985741348,4.932455161889526,91.77941176470588
79,0.5,72.87,8.86,7.71,22.7,46.0,3.0,64.0,4.0,15.333333333333334,1.391304347826087,0.7608695652173914,5.1604684654214,3.6490022459988087,47.04545454545455
80,0.5,88.74,7.98,5.0,10.3,24.0,3.0,31.0,1.0,8.0,1.2916666666666667,0.9583333333333334,4.694855340334425,3.3197640478403483,144.00000000000014
81,0.1,81.63,6.49,7.65,20.8,60.0,4.0,78.0,3.0,15.0,1.3,0.7333333333333333,5.680375574437544,4.016632088371218,50.76923076923077
82,0.8,41.19,9.84,11.72,30.0,43.0,2.0,71.0,7.0,21.5,1.6511627906976745,0.7906976744186046,5.184951391308559,3.666314288916906,38.58055555555555
83,0.1,27.83,12.75,11.91,62.0,43.0,1.0,68.0,5.0,43.0,1.5813953488372092,0.7906976744186046,5.184951391308559,3.666314288916906,51.3611111111111
84,0.1,67.49,8.18,6.91,31.6,103.0,5.0,141.0,8.0,20.6,1.3689320388349515,0.6568627450980392,6.633988537943719,4.690938281493833,50.12951807228915
85,0.1,82.34,8.94,6.55,20.5,86.0,6.0,110.0,5.0,14.333333333333334,1.2790697674418603,0.6125,5.4783665448744845,3.873790133706264,36.36363636363636
86,0.1,81.83,8.92,6.78,22.3,59.0,4.0,78.0,3.0,14.75,1.3220338983050848,0.7796610169491526,5.988689905117898,4.234643242332288,66.94230769230771
87,0.5,46.44,11.02,7.21,50.0,33.0,1.0,48.0,3.0,33.0,1.4545454545454546,0.8484848484848485,4.874174366759539,3.4465617474213164,54.45000000000001
88,0.8,69.86,8.99,4.94,41.4,133.0,5.0,170.0,8.0,26.6,1.2781954887218046,0.7272727272727273,8.355727485873496,5.908391567007971,101.72477064220185
89,0.1,37.64,9.3,13.18,33.0,25.0,1.0,42.0,6.0,25.0,1.68,0.84,4.2,2.9698484809834995,39.06249999999999
90,0.5,69.62,8.39,8.76,26.8,74.0,4.0,100.0,6.0,18.5,1.351351351351351,0.6486486486486487,5.579886659703326,3.945575695328575,40.32051282051282
91,0.8,32.87,11.85,14.28,39.3,89.0,3.0,153.0,19.0,29.666666666666668,1.7191011235955056,0.7727272727272727,7.248824356090754,5.125692857821981,96.8
92,0.8,58.11,12.05,13.05,27.5,43.0,2.0,63.0,2.0,21.5,1.4651162790697674,0.9,5.692099788303082,4.024922359499621,100.00000000000004
93,0.5,80.82,7.42,6.15,23.0,79.0,5.0,102.0,6.0,15.8,1.2911392405063291,0.8205128205128205,7.246573018525412,5.124100921762788,108.64285714285712
94,0.5,54.56,9.93,13.81,33.7,75.0,3.0,116.0,7.0,25.0,1.5466666666666666,0.8133333333333334,7.043673284113433,4.980629143659129,100.44642857142858
95,0.1,70.63,9.92,6.26,26.5,35.0,2.0,50.0,3.0,17.5,1.4285714285714286,0.8857142857142857,5.239956379316803,3.70520868893662,76.56249999999997
96,0.5,59.64,10.16,11.31,27.5,40.0,2.0,60.0,5.0,20.0,1.5,0.9,5.692099788303082,4.024922359499621,100.00000000000004
97,0.8,59.26,9.28,9.41,40.7,86.0,3.0,122.0,9.0,28.666666666666668,1.4186046511627908,0.7558139534883721,7.009130258223497,4.956203535809652,87.02380952380952
98,0.1,86.54,9.25,6.38,27.5,37.0,2.0,46.0,2.0,18.5,1.2432432432432432,0.6944444444444444,4.166666666666667,2.946278254943948,33.12
99,0.8,64.41,10.4,9.74,23.0,92.0,6.0,135.0,10.0,15.333333333333334,1.4673913043478262,0.6847826086956522,6.568204042797856,4.644421618879259,40.523809523809526
100,0.5,69.82,9.42,9.81,24.3,55.0,3.0,76.0,3.0,18.33333333333333,1.3818181818181818,0.8148148148148148,5.987641593469991,4.233901974057256,72.89999999999998
101,0.5,40.35,9.82,11.09,54.5,78.0,2.0,117.0,10.0,39.0,1.5,0.7692307692307693,6.793662204867574,4.803844614152614,68.06690140845072
102,0.5,56.26,10.36,9.99,54.0,40.0,1.0,53.0,3.0,40.0,1.325,0.65,4.110960958218893,2.9068883707497264,14.166666666666668
103,0.5,52.46,9.62,11.46,14.2,52.0,5.0,86.0,9.0,10.4,1.6538461538461535,0.8627450980392157,6.161232369723243,4.356649189097367,92.89285714285715
104,0.1,68.3,9.02,8.7,28.5,79.0,4.0,112.0,8.0,19.75,1.4177215189873418,0.7848101265822784,6.975544985741348,4.932455161889526,91.77941176470588
105,0.8,58.96,10.52,14.92,37.0,29.0,1.0,41.0,3.0,29.0,1.4137931034482758,0.896551724137931,4.828078792603349,3.4139672543527864,70.08333333333334
106,0.8,43.23,10.81,9.53,64.0,89.0,2.0,123.0,9.0,44.5,1.3820224719101124,0.7727272727272727,7.248824356090754,5.125692857821981,96.8
107,0.5,44.41,12.14,10.17,50.0,35.0,1.0,54.0,5.0,35.0,1.542857142857143,0.8823529411764706,5.144957554275265,3.6380343755449935,72.24999999999999
108,0.1,70.63,9.92,6.26,26.5,35.0,2.0,50.0,3.0,17.5,1.4285714285714286,0.8857142857142857,5.239956379316803,3.70520868893662,76.56249999999997
109,0.1,63.9,8.43,10.5,20.8,63.0,4.0,92.0,6.0,15.75,1.4603174603174602,0.7903225806451613,6.223006223009334,4.400329899655985,55.8639774859287
110,0.8,39.0,12.13,8.14,49.0,32.0,1.0,50.0,4.0,32.0,1.5625,0.84375,4.772970773009195,3.375,51.2
111,0.5,62.07,9.0,10.55,24.0,88.0,5.0,128.0,11.0,17.6,1.4545454545454546,0.7727272727272727,7.248824356090754,5.125692857821981,96.8
112,0.5,66.37,8.6,8.36,31.3,65.0,3.0,89.0,2.0,21.666666666666668,1.3692307692307693,0.71875,5.75,4.065863991822648,44.8
113,0.8,59.26,9.47,9.41,40.7,86.0,3.0,122.0,9.0,28.666666666666668,1.4186046511627908,0.7558139534883721,7.009130258223497,4.956203535809652,87.02380952380952
114,0.5,47.12,9.29,9.65,68.0,49.0,1.0,66.0,4.0,49.0,1.346938775510204,0.7755102040816326,5.428571428571429,3.838579669298401,54.56818181818181
115,0.8,47.46,11.14,11.04,43.0,64.0,2.0,95.0,8.0,32.0,1.484375,0.8125,6.5,4.596194077712559,85.33333333333333
116,0.5,52.46,9.62,11.46,14.2,52.0,5.0,86.0,9.0,10.4,1.6538461538461535,0.8627450980392157,6.161232369723243,4.356649189097367,92.89285714285715
117,0.8,57.77,9.57,12.23,17.5,27.0,2.0,42.0,3.0,13.5,1.5555555555555556,0.925925925925926,4.811252243246881,3.4020690871988584,91.125
118,0.1,64.72,6.8,4.66,65.0,40.0,1.0,47.0,2.0,40.0,1.175,0.825,5.217758139277826,3.689512162874653,57.14285714285713
119,0.8,59.13,10.43,10.33,29.5,41.0,2.0,63.0,3.0,20.5,1.5365853658536586,0.8536585365853658,5.466081666101212,3.8651034126196286,70.04166666666666
120,0.1,88.77,8.63,4.46,26.3,49.0,3.0,58.0,1.0,16.333333333333332,1.183673469387755,0.7551020408163265,5.285714285714286,3.73756441484318,45.0558712121212
121,0.5,33.24,10.32,14.85,28.3,84.0,4.0,148.0,20.0,21.0,1.761904761904762,0.7023809523809523,6.437427761961776,4.551948823881712,71.07692307692307
122,0.1,81.12,7.46,8.64,21.0,31.0,2.0,41.0,2.0,15.5,1.3225806451612905,0.8387096774193549,4.669737852696148,3.302003302004953,48.05000000000001
123,0.8,56.08,9.51,9.29,32.0,47.0,2.0,69.0,5.0,23.5,1.4680851063829787,0.851063829787234,5.834599659915782,4.125684985035173,78.89285714285715
124,0.5,77.87,8.79,7.14,27.3,56.0,3.0,73.0,1.0,18.666666666666668,1.3035714285714286,0.8363636363636363,6.202638734661827,4.385927910529725,63.51388888888887
125,0.8,45.09,9.38,13.58,34.3,78.0,3.0,121.0,9.0,26.0,1.551282051282051,0.7307692307692307,6.453979094624195,4.563652383444984,53.083333333333336
126,0.5,56.59,10.96,11.78,29.0,23.0,1.0,35.0,5.0,23.0,1.5217391304347827,1.0,4.79583152331272,3.391164991562634,23.0
127,0.5,69.04,8.45,4.48,42.8,137.0,5.0,175.0,8.0,27.4,1.2773722627737227,0.6940298507462687,8.03397635790665,5.680879162568193,65.1052036199095
128,0.8,59.64,10.55,11.02,28.0,40.0,2.0,58.0,6.0,20.0,1.45,0.8461538461538461,5.284229075567875,3.7365142126771658,63.375
129,0.5,52.87,10.34,10.8,50.0,35.0,1.0,48.0,4.0,35.0,1.3714285714285714,0.8857142857142857,5.239956379316803,3.70520868893662,76.56249999999997
130,0.8,95.37,8.58,5.66,13.0,39.0,4.0,47.0,1.0,9.75,1.205128205128205,0.8717948717948718,5.4443572293729625,3.849741916091625,53.89709302325582
131,0.5,74.9,9.06,6.89,19.5,53.0,4.0,75.0,5.0,13.25,1.4150943396226414,0.82,5.79827560572969,4.1,69.44444444444443
132,0.8,43.56,11.03,12.54,40.0,55.0,2.0,87.0,11.0,27.5,1.5818181818181818,0.8518518518518519,6.2598071204459,4.426352063787131,91.125
133,0.8,65.22,11.43,11.13,20.0,29.0,2.0,44.0,5.0,14.5,1.5172413793103448,0.7586206896551724,4.085297439895141,2.888741522913896,26.23809523809524
134,0.8,60.85,10.04,12.82,25.3,75.0,4.0,116.0,12.0,18.75,1.5466666666666666,0.8,6.928203230275509,4.898979485566357,93.75
135,0.5,54.56,9.93,13.81,33.7,75.0,3.0,116.0,7.0,25.0,1.5466666666666666,0.8133333333333334,7.043673284113433,4.980629143659129,100.44642857142858
136,0.5,50.17,11.07,11.74,58.0,46.0,1.0,59.0,1.0,46.0,1.2826086956521738,0.7391304347826086,5.013026509266503,3.5447450389702717,40.888888888888886
137,0.8,59.13,10.43,10.33,29.5,41.0,2.0,63.0,3.0,20.5,1.5365853658536586,0.8536585365853658,5.466081666101212,3.8651034126196286,70.04166666666666
138,0.8,73.47,10.11,10.61,18.7,44.0,3.0,61.0,3.0,14.666666666666666,1.3863636363636365,0.8409090909090909,5.577959874688627,3.944213252578793,69.14285714285715
139,0.5,60.99,9.65,7.38,39.0,54.0,2.0,73.0,4.0,27.0,1.351851851851852,0.7924528301886793,5.769143685844939,4.079400621900509,63.84090909090911
140,0.8,71.85,9.79,9.1,23.0,65.0,4.0,94.0,10.0,16.25,1.446153846153846,0.8461538461538461,6.821910402406465,4.823819106188661,105.625
141,0.1,74.87,10.39,9.99,37.0,30.0,1.0,36.0,1.0,30.0,1.2,0.7857142857142857,4.157609203101499,2.9398736610366685,30.33333333333333
142,0.1,47.46,9.34,10.75,44.7,96.0,3.0,148.0,14.0,32.0,1.5416666666666667,0.71875,7.042283010501638,4.979646071760523,52.8
143,0.1,64.04,10.09,7.43,35.0,24.0,1.0,33.0,1.0,24.0,1.375,0.9130434782608696,4.37880269519857,3.09628107925284,66.12499999999996
144,0.8,59.13,10.43,10.33,29.5,41.0,2.0,63.0,3.0,20.5,1.5365853658536586,0.8536585365853658,5.466081666101212,3.8651034126196286,70.04166666666666
145,0.5,60.99,10.82,10.74,37.0,27.0,1.0,39.0,2.0,27.0,1.4444444444444444,0.925925925925926,4.811252243246881,3.4020690871988584,91.125
146,0.5,62.17,10.82,10.9,25.0,35.0,2.0,52.0,6.0,17.5,1.4857142857142858,0.9705882352941176,5.659453309702792,4.001837813099494,288.99999999999994
147,0.5,73.37,7.85,8.05,21.3,59.0,4.0,85.0,6.0,14.75,1.4406779661016949,0.7796610169491526,5.988689905117898,4.234643242332288,66.94230769230771
148,0.8,33.92,12.3,14.52,50.0,37.0,1.0,59.0,8.0,37.0,1.5945945945945943,0.8918918918918919,5.425166581076791,3.836172078546036,85.5625
149,0.8,51.21,10.43,9.64,42.3,85.0,3.0,124.0,11.0,28.33333333333333,1.4588235294117646,0.7411764705882353,6.8333094212876695,4.831879429738433,76.9047619047619
150,0.8,74.53,8.32,7.25,34.0,44.0,2.0,55.0,1.0,22.0,1.25,0.8409090909090909,5.577959874688627,3.944213252578793,69.14285714285715
151,0.1,-132.59,19.48,12.6,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,0.7071067811865475,1.0
152,0.5,58.62,9.94,9.23,30.5,42.0,2.0,61.0,2.0,21.0,1.4523809523809523,0.8095238095238095,5.246313898711125,3.709704134011871,40.43346774193548
153,0.5,57.61,9.75,12.53,32.0,22.0,1.0,33.0,2.0,22.0,1.5,1.0,4.69041575982343,3.3166247903554,22.0
154,0.8,57.61,10.23,10.04,31.3,66.0,3.0,98.0,6.0,22.0,1.4848484848484849,0.8333333333333334,6.7700320038633,4.7871355387816905,99.00000000000004
155,0.1,75.03,7.27,6.04,31.0,43.0,2.0,55.0,3.0,21.5,1.2790697674418603,0.7857142857142857,5.092010548749033,3.6005951888938745,48.99999999999999
156,0.8,51.21,10.43,9.64,42.3,85.0,3.0,124.0,11.0,28.33333333333333,1.4588235294117646,0.7411764705882353,6.8333094212876695,4.831879429738433,76.9047619047619
157,0.1,74.87,9.86,5.18,45.0,30.0,1.0,36.0,1.0,30.0,1.2,0.8666666666666667,4.74692883171144,3.3565855667130946,56.250000000000014
158,0.5,67.28,10.57,10.79,27.5,83.0,4.0,114.0,7.0,20.75,1.3734939759036144,0.7875,7.043614129124337,4.980587314765197,94.11764705882352
159,0.5,72.16,8.05,9.63,22.3,48.0,3.0,67.0,4.0,16.0,1.3958333333333333,0.8936170212765957,6.126329642911571,4.331969234286932,110.44999999999996
160,0.8,69.86,8.99,4.94,41.4,133.0,5.0,170.0,8.0,26.6,1.2781954887218046,0.7230769230769231,8.244345381486076,5.829632525692798,99.9074074074074
161,0.8,55.24,11.45,8.49,61.0,41.0,1.0,54.0,4.0,41.0,1.3170731707317074,0.8974358974358975,5.60448538317805,3.962969619506085,95.06250000000004
162,0.8,69.11,9.57,8.65,27.0,57.0,3.0,82.0,6.0,19.0,1.4385964912280702,0.7368421052631579,5.563035899673184,3.9336604086431146,42.15126050420169
163,0.8,66.75,9.26,6.98,56.0,38.0,1.0,45.0,0.0,38.0,1.1842105263157894,0.7894736842105263,4.8666426339228765,3.4412360080584263,45.125
164,0.5,54.56,8.67,10.86,35.0,25.0,1.0,38.0,2.0,25.0,1.52,0.84,4.2,2.9698484809834995,39.06249999999999
165,0.8,52.53,12.58,13.64,36.0,54.0,2.0,81.0,4.0,27.0,1.5,0.7962962962962963,5.851558829982037,4.137676929192318,66.27272727272727
166,0.1,85.18,8.33,5.26,16.5,23.0,2.0,29.0,2.0,11.5,1.2608695652173914,0.9565217391304348,4.587317109255645,3.243723035407737,132.25000000000009
167,0.5,72.16,7.72,7.83,22.3,96.0,6.0,132.0,9.0,16.0,1.375,0.625,6.123724356957946,4.330127018922194,32.14545454545454
